Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,1st phase—general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,18,No,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,Yes,18,No,0,8,8,7,13.21428571,0,0,8,8,7,13.21428571,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,2,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,Unskilled Workers,1,0,No,Yes,Female,No,19,No,0,6,6,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
Single,Short cycle diploma holders,1,Tourism,Daytime,Professional higher technical course,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,21,No,0,6,7,6,10.57142857,0,0,6,8,5,11,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,1,0,No,Yes,Female,No,18,No,0,6,10,1,12,0,0,6,14,2,11,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Administrative staff,1,0,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase—general contingent,1,Equiniculture,Daytime,Secondary education,Portuguese,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st phase—general contingent,1,Basic Education,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,18,No,0,7,7,6,11.66666667,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Installation and Machine Operators and Assembly Workers,0,0,No,Yes,Female,Yes,21,No,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Graduate
Single,3rd phase—general contingent,4,Oral Hygiene,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase—general contingent,4,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",1,0,No,Yes,Female,No,18,No,0,8,12,7,12.85714286,0,0,8,12,7,12.85714286,0,12.7,3.7,-1.7,Graduate
Single,1st phase—general contingent,4,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.28571429,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",0,0,No,Yes,Female,No,19,No,0,7,8,6,13.29666667,0,0,8,9,7,14.11428571,0,11.1,0.6,2.02,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,1,0,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.28571429,0,16.2,0.3,-0.92,Graduate
Single,1st phase—general contingent,1,Veterinary Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,No,18,No,0,5,9,5,12.66666667,2,0,5,7,4,13,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,20,No,0,5,6,5,12,0,0,5,6,5,12.33333333,0,16.2,0.3,-0.92,Graduate
Single,2nd phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,Higher Education—degree,Higher Education—degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Armed Forces Professions,1,0,No,Yes,Male,No,19,No,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,Higher Education—master’s degree,Higher Education—doctorate,Administrative staff,Specialists in Intellectual and Scientific Activities,0,0,No,Yes,Male,No,21,No,0,6,15,5,11.85714286,0,0,6,17,5,10.57142857,0,16.2,0.3,-0.92,Enrolled
Single,Change in institution/course,1,Communication Design,Daytime,Secondary education,Portuguese,Basic education 1st cycle (4th/5th year) or equivalent,Higher Education—degree,Directors of administrative and commercial services,Intermediate level science and engineering technicians and professions,1,0,No,Yes,Male,No,20,No,2,6,7,6,12.83333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,No,Male,No,18,No,0,5,9,3,11.33333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd phase—general contingent,1,Social Service (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,19,No,0,6,6,6,12.66666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Higher Education—bachelor’s degree,Basic education 1st cycle (4th/5th year) or equivalent,Intermediate Level Technicians and Professions,Unskilled Workers,0,0,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.42857143,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,Yes,No,Male,No,37,No,0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,Dropout
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th year of schooling—not completed,Portuguese,2nd cycle of the general high school course,Basic education 1st cycle (4th/5th year) or equivalent,Student,Student,1,0,No,Yes,Male,No,43,No,0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,Dropout
Single,Change in course,1,Management,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,No,Yes,Female,No,55,No,0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Intermediate Level Technicians and Professions,1,0,No,Yes,Female,No,39,No,0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Equiniculture,Daytime,Technological specialization course,Spanish,Higher Education—master’s degree,Higher Education—master’s degree,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",0,0,Yes,No,Female,No,20,Yes,2,6,13,3,11.66666667,0,1,6,11,3,12,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,5,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,0,0,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,Dropout
Single,1st phase—general contingent,2,Management,Daytime,Secondary education,Portuguese,Higher Education—degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,1,1,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.34285714,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",0,0,No,No,Female,No,20,No,0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,No,29,No,0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase—general contingent,1,Management (evening attendance),Evening,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.33333333,1,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,2,Social Service,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Female,No,18,No,0,6,6,6,11.66666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase—general contingent,6,Nursing,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,22,No,0,7,8,6,13.51666667,0,0,8,9,7,13.77142857,0,11.1,0.6,2.02,Graduate
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Technological specialization course,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.28571429,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Social Service,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,Yes,19,No,0,6,7,5,12.33333333,0,0,6,7,6,12.83333333,0,12.7,3.7,-1.7,Graduate
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,0,No,Yes,Female,Yes,24,No,0,6,6,6,13.66666667,0,0,6,6,6,14.16666667,0,12.4,0.5,1.79,Graduate
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",1,0,No,Yes,Female,Yes,19,No,0,8,10,6,11.83333333,0,0,8,10,6,11.83333333,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,1,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Female,Yes,20,No,0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase—general contingent,3,Equiniculture,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education 1st cycle (4th/5th year) or equivalent,Other Situation; 13—(blank),Other Situation; 13—(blank),0,0,No,Yes,Female,No,19,No,0,5,7,5,14.71428571,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,Dropout
Single,1st phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Female,No,18,No,0,7,9,7,13.04444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of other higher courses,1,Tourism,Daytime,Higher education—degree,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Administrative staff,Intermediate Level Technicians and Professions,0,0,No,Yes,Female,No,39,No,0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Equiniculture,Daytime,Higher education—degree (1st cycle),Portuguese,Higher Education—degree,Higher Education—degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,1,0,No,Yes,Female,No,27,No,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,1,0,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,Unskilled Workers,1,0,No,Yes,Female,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,Enrolled
Single,1st phase—general contingent,2,Nursing,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,No,18,No,0,7,8,6,13.13333333,0,0,8,12,7,12.22142857,0,16.2,0.3,-0.92,Graduate
Single,Technological specialization diploma holders,1,Social Service,Daytime,Technological specialization course,Portuguese,General commerce course,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,0,0,No,Yes,Female,Yes,21,No,3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,Graduate
Single,2nd phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic education 1st cycle (4th/5th year) or equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Male,Yes,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase—general contingent,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Administrative staff,1,0,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
Single,Change in course,1,Communication Design,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,0,No,Yes,Male,No,24,No,0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",1,0,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,Dropout
Single,1st phase—general contingent,3,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,1,0,No,Yes,Male,Yes,19,No,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Male,No,23,No,0,6,8,6,12.57142857,0,0,6,7,6,12.42857143,0,8.9,1.4,3.51,Graduate
Single,1st phase—general contingent,3,Management,Daytime,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,0,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 years old,1,Tourism,Daytime,Secondary education,Portuguese,General commerce course,Basic education 1st cycle (4th/5th year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,0,0,No,Yes,Male,No,26,No,0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase—general contingent,1,Management,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",0,0,No,Yes,Male,No,18,No,0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase—general contingent,1,Nursing,Daytime,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Installation and Machine Operators and Assembly Workers,Administrative staff,0,0,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase—general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,Portuguese,General commerce course,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,"Personal Services, Security and Safety Workers, and Sellers",Armed Forces Professions,1,0,No,Yes,Male,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase—general contingent,4,Tourism,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education 1st cycle (4th/5th year) or equivalent,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",1,0,No,Yes,Male,No,18,No,0,6,12,3,11.66666667,0,0,6,12,1,12,0,12.4,0.5,1.79,Dropout
Single,1st phase—general contingent,2,Journalism and Communication,Daytime,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education 2nd Cycle (6th/7th/8th Year) or equivalent,Unskilled Workers,Unskilled Workers,1,0,No,Yes,Male,No,18,No,0,6,8,6,12.33333333,0,0,6,11,3,12.33333333,0,10.8,1.4,1.74,Graduate
